,SPY
,close
time,
2020-03-17 00:00:00-04:00,254.19
2020-03-18 00:00:00-04:00,241.01
2020-03-19 00:00:00-04:00,241.16
2020-03-20 00:00:00-04:00,228.94
2020-03-23 00:00:00-04:00,222.51
2020-03-24 00:00:00-04:00,243.59
2020-03-25 00:00:00-04:00,246.77
2020-03-26 00:00:00-04:00,261.39
2020-03-27 00:00:00-04:00,253.39
2020-03-30 00:00:00-04:00,261.68
2020-03-31 00:00:00-04:00,257.7
2020-04-01 00:00:00-04:00,246.12
2020-04-02 00:00:00-04:00,251.87
2020-04-03 00:00:00-04:00,248.21
2020-04-06 00:00:00-04:00,264.96
2020-04-07 00:00:00-04:00,265.1
2020-04-08 00:00:00-04:00,274.07
2020-04-09 00:00:00-04:00,278.24
2020-04-13 00:00:00-04:00,275.57
2020-04-14 00:00:00-04:00,283.87
2020-04-15 00:00:00-04:00,277.75
2020-04-16 00:00:00-04:00,279.21
2020-04-17 00:00:00-04:00,286.73
2020-04-20 00:00:00-04:00,281.61
2020-04-21 00:00:00-04:00,273.02
2020-04-22 00:00:00-04:00,279.17
2020-04-23 00:00:00-04:00,279.06
2020-04-24 00:00:00-04:00,283.04
2020-04-27 00:00:00-04:00,287.11
2020-04-28 00:00:00-04:00,285.77
2020-04-29 00:00:00-04:00,293.19
2020-04-30 00:00:00-04:00,290.39
2020-05-01 00:00:00-04:00,282.73
2020-05-04 00:00:00-04:00,283.66
2020-05-05 00:00:00-04:00,286.22
2020-05-06 00:00:00-04:00,284.29
2020-05-07 00:00:00-04:00,287.7
2020-05-08 00:00:00-04:00,292.47
2020-05-11 00:00:00-04:00,292.56
2020-05-12 00:00:00-04:00,286.62
2020-05-13 00:00:00-04:00,281.67
2020-05-14 00:00:00-04:00,285.05
2020-05-15 00:00:00-04:00,286.26
2020-05-18 00:00:00-04:00,294.995
2020-05-19 00:00:00-04:00,292.02
2020-05-20 00:00:00-04:00,296.96
2020-05-21 00:00:00-04:00,294.79
