date,close,volume,open,high,low
4/12/2017,234.03,81864436,234.74,234.96,233.77
4/13/2017,232.51,92880394,233.64,234.49,232.51
4/17/2017,234.57,68405367,233.11,234.57,232.88
4/18/2017,233.87,83225821,233.72,234.49,233.08
4/19/2017,233.44,68699868,234.52,234.95,233.18
4/20/2017,235.34,92572186,234.15,235.845,233.78
4/21/2017,234.59,110389847,235.25,235.31,234.13
4/24/2017,237.17,119209877,237.18,237.41,234.5628125
4/25/2017,238.55,76698265,237.91,238.95,237.81
4/26/2017,238.4,84702455,238.51,239.53,238.35
4/27/2017,238.6,57410326,238.77,238.95,237.98
4/28/2017,238.08,63532845,238.9,238.93,237.93
5/1/2017,238.68,66882521,238.68,239.17,238.195
5/2/2017,238.77,57375732,238.84,238.98,238.3
5/3/2017,238.48,73137731,238.29,238.8775,237.7
5/4/2017,238.76,61462732,238.83,238.9225,237.78
5/5/2017,239.7,62001269,239.19,239.72,238.68
5/8/2017,239.66,48385730,239.75,239.92,239.17
5/9/2017,239.44,51363200,239.96,240.19,239.04
5/10/2017,239.87,54293799,239.39,239.87,239.15
5/11/2017,239.38,62358346,239.35,239.57,238.13
5/12/2017,238.98,53912730,239.09,239.4273125,238.67
5/15/2017,240.3,61918937,239.47,240.44,239.45
5/16/2017,240.08,51241791,240.64,240.67,239.63
5/17/2017,235.82,172174107,238.1,238.64,235.75
5/18/2017,236.77,107047656,235.73,237.75,235.43
5/19/2017,238.31,115011373,237.33,239.08,237.27
5/22/2017,239.52,61010602,238.9,239.71,238.82
5/23/2017,240.05,48341683,239.95,240.24,239.51
5/24/2017,240.61,49181099,240.32,240.73,239.93
5/25/2017,241.76,64071661,241.2,242.08,240.96
5/26/2017,241.71,46629905,241.54,241.9,241.45
5/30/2017,241.5,35201897,241.34,241.79,241.16
5/31/2017,241.44,91796016,241.84,241.88,240.64
6/1/2017,243.36,68962024,241.97,243.38,241.64
6/2/2017,244.17,88666128,243.42,244.35,243.08
6/5/2017,243.99,44698825,243.97,244.3,243.76
6/6/2017,243.21,50375430,243.34,243.98,243.12
6/7/2017,243.66,54144311,243.6,243.92,242.83
6/8/2017,243.78,65950691,243.77,244.33,243.17
6/9/2017,243.41,132256362,244.09,245.01,241.95
6/12/2017,243.36,86108102,243.13,243.42,242.38
6/13/2017,244.55,60066953,243.98,244.61,243.5799
6/14/2017,244.24,78602311,244.86,244.87,243.29
6/15/2017,243.77,66464888,242.68,243.91,242.36
6/16/2017,242.64,84553097,242.77,242.83,241.6337
6/19/2017,244.66,65123802,243.59,244.73,243.48
6/20/2017,243.01,56906368,244.25,244.26,242.99
6/21/2017,242.95,55977569,243.42,243.59,242.41
6/22/2017,242.84,44148059,242.96,243.53,242.64
6/23/2017,243.13,66986801,242.91,243.51,242.47
6/26/2017,243.29,56700477,243.9,244.38,243.045
6/27/2017,241.33,82247666,243.04,243.38,241.31
6/28/2017,243.49,70042599,242.5,243.715,242.23
6/29/2017,241.35,106949719,243.66,243.72,239.955
6/30/2017,241.8,86820694,242.28,242.71,241.575
7/3/2017,242.21,39153806,242.88,243.38,242.21
7/5/2017,242.77,54427596,242.63,243.01,241.7
7/6/2017,240.55,66115317,241.89,242.03,240.34
7/7/2017,242.11,57972268,241.21,242.28,240.5645
7/10/2017,242.37,36663274,241.95,242.8,241.76
7/11/2017,242.19,50354614,242.16,242.55,240.85
7/12/2017,244.01,59610405,243.3,244.2,243.3
7/13/2017,244.42,39471637,244.02,244.55,243.76
7/14/2017,245.56,60262692,244.43,245.97,244.31
7/17/2017,245.53,33531917,245.47,245.91,245.33
7/18/2017,245.66,42742498,245.06,245.72,244.67
7/19/2017,246.99,51034260,246.02,247,246.01
7/20/2017,247.1,47135183,247.28,247.42,246.47
7/21/2017,246.88,88711019,246.44,246.91,246.18
7/24/2017,246.82,46622256,246.79,246.98,246.28
7/25/2017,247.42,54915591,247.68,247.8,247.16
7/26/2017,247.43,47575422,247.75,247.79,247.13
7/27/2017,247.2,70766568,247.96,248,245.68
7/28/2017,246.91,50088359,246.65,247.06,246.13
7/31/2017,246.77,65838659,247.37,247.48,246.53
8/1/2017,247.32,55050401,247.46,247.5,246.716
8/2/2017,247.44,47211216,247.47,247.6,246.37
8/3/2017,246.96,40855997,247.31,247.34,246.64
8/4/2017,247.41,60191838,247.52,247.79,246.97
8/7/2017,247.87,31995021,247.49,247.87,247.37
8/8/2017,247.26,61719353,247.51,248.91,246.83
8/9/2017,247.25,62632619,246.47,247.31,246.06
8/10/2017,243.76,120479470,246.29,246.44,243.7
8/11/2017,244.12,74869947,244.02,244.8,243.75
8/14/2017,246.54,73291919,245.59,246.79,245.55
8/15/2017,246.51,55242746,246.98,247,246.16
8/16/2017,246.94,56715544,247.11,247.57,246.45
8/17/2017,243.09,128490396,246.24,246.6,243.09
8/18/2017,242.71,136747986,242.9,244.189,242.2
8/21/2017,242.9,65469736,242.64,243.2,241.83
8/22/2017,245.44,63140101,243.57,245.62,243.55
8/23/2017,244.56,50203837,244.33,245.05,244.16
8/24/2017,243.99,50741671,245,245.18,243.75
8/25/2017,244.56,64445912,244.9,245.61,244.39
8/28/2017,244.57,40565606,245.17,245.2,244.09
8/29/2017,244.85,51135715,243.06,245.15,242.93
8/30/2017,246.01,62030805,244.83,246.32,244.62
8/31/2017,247.49,103803880,246.72,247.77,246.0473
9/1/2017,247.84,62006989,247.92,248.33,247.67
9/5/2017,246.06,91398777,247.26,247.52,244.95
9/6/2017,246.9,57916867,246.84,247.28,246.23
9/7/2017,246.87,58034730,247.25,247.27,246.4
9/8/2017,246.58,63832825,246.54,247.11,246.3
9/11/2017,249.21,71364848,248.04,249.3,248.02
9/12/2017,250.05,56896027,249.63,250.09,249.42
9/13/2017,250.17,59228002,249.72,250.21,249.59
9/14/2017,250.09,95446349,249.8,250.32,249.6
9/15/2017,249.19,95432382,248.69,249.29,248.57
9/18/2017,249.72,46235238,249.61,250.12,249.28
9/19/2017,249.97,47108148,250,250.07,249.6
9/20/2017,250.06,59574083,250.07,250.19,248.92
9/21/2017,249.39,48211398,249.88,249.98,249.185
